method,seed,path,final_nondominated_distinct_phenotypes,archive_nondominated_distinct_phenotypes,decode_failures,elapsed_seconds,valid_evaluations_per_second,final_hv_ref_1.1,archive_hv_ref_1.1,final_hv_ref_1.05,archive_hv_ref_1.05,final_hv_ref_1.2,archive_hv_ref_1.2
moead,1,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_1_2026-07-24_08-29-26,7,21,1,15723.422907943837,0.6359302334193576,1.1986673615685555,1.2062475650505466,1.0913643777939905,1.0985868976063466,1.4282733291176855,1.4365688999389457
nsga2,1,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_1_2026-07-24_08-29-26,20,39,2,1116.6453789931256,8.953603523631786,1.1532234879299161,1.1532249623970465,1.048297007373151,1.0482984818402814,1.3780764490434458,1.3780779235105762
moead,2,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_2_2026-07-24_09-05-16,7,22,1,12137.247747732094,0.8238276261492944,1.2342968848162263,1.2343405463256731,1.125263839752922,1.125307501262369,1.4673629749428339,1.4674066364522809
nsga2,2,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_2_2026-07-24_08-48-12,20,31,1,1013.8546094039921,9.862360842722849,1.1766304835046302,1.1766478403607867,1.0704452076839424,1.070462564540099,1.4040010351460053,1.404018392002162
moead,3,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_3_2026-07-24_12-49-14,14,41,0,12890.221553453011,0.7757818559232766,1.1822649132383218,1.182266196869797,1.0759702546535912,1.0759715382850663,1.4098542304077823,1.4098555140392575
nsga2,3,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_3_2026-07-24_12-27-42,19,49,5,1283.0313739399426,7.790144655081408,1.2359547117488505,1.236086975532998,1.126881906123024,1.1270141699071714,1.469100323000503,1.4692325867846505
moead,4,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_4_2026-07-24_13-14-34,10,16,0,12971.924825400114,0.7708956176202288,1.2165972172390616,1.2166099995187512,1.1086515634473182,1.1086643457270078,1.4474885248225475,1.447501307102237
nsga2,4,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_4_2026-07-24_12-51-39,19,43,23,1366.0991674428806,7.303276539341833,1.1826792402903514,1.1826936591148405,1.0762469716580363,1.0762613904825253,1.4105437775549816,1.4105581963794707
moead,5,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_5_2026-07-24_16-45-44,13,7,0,14489.705948718125,0.6901451303009141,1.1594683292190096,1.1594683292190096,1.0542526891215303,1.0542526891215303,1.3848996094139685,1.3848996094139685
nsga2,5,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_5_2026-07-24_16-24-12,19,34,1,1283.3714088748675,7.791197412420251,1.1868586772815481,1.1868677093106745,1.0803276777164381,1.0803367097455645,1.414920676411768,1.4149297084408945
