method,seed,evaluation_count,distinct_nondominated_phenotypes,hv_ref_1.1
moead,1,20,1,0.9835380981382029
moead,1,1000,5,1.145597933097952
moead,1,5000,5,1.187709790421525
moead,1,10000,7,1.1986673615685555
nsga2,1,20,1,0.9835380981382029
nsga2,1,1000,19,1.1172467825947754
nsga2,1,5000,19,1.1487827963075465
nsga2,1,10000,20,1.1532234879299161
moead,2,20,3,0.9790173870287893
moead,2,1000,6,1.1807305185287755
moead,2,5000,8,1.2229839357875185
moead,2,10000,7,1.2342968848162263
nsga2,2,20,3,0.9790173870287893
nsga2,2,1000,18,1.1333659892964327
nsga2,2,5000,18,1.1633056663529389
nsga2,2,10000,20,1.1766304835046302
moead,3,20,1,0.9822459542914337
moead,3,1000,5,1.1400850873559762
moead,3,5000,15,1.1699461886421545
moead,3,10000,14,1.1822649132383218
nsga2,3,20,1,0.9822459542914337
nsga2,3,1000,17,1.1952046565252605
nsga2,3,5000,20,1.2261723989631357
nsga2,3,10000,19,1.2359547117488505
moead,4,20,2,1.0079523693262102
moead,4,1000,7,1.1355432952266373
moead,4,5000,7,1.1629684880684032
moead,4,10000,10,1.2165972172390616
nsga2,4,20,2,1.0079523693262102
nsga2,4,1000,18,1.1420581228578428
nsga2,4,5000,18,1.1763973904732161
nsga2,4,10000,19,1.1826792402903514
moead,5,20,2,0.9866272701746346
moead,5,1000,6,1.089228218991878
moead,5,5000,11,1.13719617404208
moead,5,10000,13,1.1594683292190096
nsga2,5,20,2,0.9866272701746346
nsga2,5,1000,18,1.146128989264825
nsga2,5,5000,19,1.1709198845220177
nsga2,5,10000,19,1.1868586772815481
