method,seed,evaluation_count,sweep,slot_count,unique_slot_phenotypes,largest_phenotype_slot_fraction,normalized_slot_entropy,adjacent_same_phenotype_fraction
moead,1,20,0,20,20,0.05,1.0,0.0
moead,1,40,1,20,4,0.5,0.38124903652801373,0.7894736842105263
moead,1,60,2,20,5,0.5,0.3883428386300494,0.7894736842105263
moead,1,80,3,20,2,0.5,0.23137821315975918,0.9473684210526315
moead,1,100,4,20,4,0.45,0.38759165114098093,0.8421052631578947
moead,1,120,5,20,2,0.5,0.23137821315975918,0.9473684210526315
moead,1,140,6,20,3,0.45,0.3562046930214503,0.8947368421052632
moead,1,160,7,20,5,0.45,0.44308460910809977,0.7894736842105263
moead,1,180,8,20,4,0.45,0.3398935755842477,0.8421052631578947
moead,1,200,9,20,7,0.2,0.6267330020522787,0.6842105263157895
moead,1,220,10,20,6,0.25,0.5705687986494469,0.7368421052631579
moead,1,240,11,20,6,0.25,0.5606802378785669,0.7368421052631579
moead,1,260,12,20,8,0.2,0.6586040494376154,0.631578947368421
moead,1,280,13,20,7,0.35,0.5788179354530016,0.631578947368421
moead,1,300,14,20,7,0.25,0.5925512852639037,0.6842105263157895
moead,1,320,15,20,10,0.25,0.7181289526146633,0.5263157894736842
moead,1,340,16,20,6,0.25,0.5606802378785668,0.6842105263157895
moead,1,360,17,20,7,0.35,0.5700847093836408,0.6842105263157895
moead,1,380,18,20,6,0.35,0.515075840682328,0.7368421052631579
moead,1,400,19,20,9,0.25,0.6862579052293265,0.5789473684210527
moead,1,420,20,20,10,0.25,0.7181289526146633,0.5263157894736842
moead,1,440,21,20,10,0.2,0.7192842873161823,0.5263157894736842
moead,1,460,22,20,3,0.6,0.29974164673650916,0.8947368421052632
moead,1,480,23,20,4,0.5,0.3899822625973746,0.8421052631578947
moead,1,500,24,20,4,0.45,0.3691551106844369,0.8421052631578947
moead,1,520,25,20,5,0.5,0.3883428386300494,0.7894736842105263
moead,1,540,26,20,3,0.5,0.28563589437200343,0.8947368421052632
moead,1,560,27,20,7,0.45,0.5223866338269074,0.6842105263157895
moead,1,580,28,20,6,0.5,0.4681289526146632,0.7368421052631579
moead,1,600,29,20,7,0.45,0.5367912290735225,0.6842105263157895
moead,1,620,30,20,9,0.45,0.5918000977748352,0.5789473684210527
moead,1,640,31,20,9,0.45,0.5918000977748352,0.5789473684210527
moead,1,660,32,20,6,0.45,0.44260051984229365,0.7368421052631579
moead,1,680,33,20,4,0.45,0.41994678779212385,0.8421052631578947
moead,1,700,34,20,4,0.45,0.41994678779212385,0.8421052631578947
moead,1,720,35,20,5,0.45,0.44308460910809977,0.7894736842105263
moead,1,740,36,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,760,37,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,780,38,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,800,39,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,820,40,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,840,41,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,860,42,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,880,43,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,900,44,20,6,0.45,0.4806270256706907,0.7368421052631579
moead,1,920,45,20,7,0.45,0.5124980730560275,0.6842105263157895
