method,seed,displacement_bin,parent_child_comparisons,survival_rate,dominates_parent_rate,dominated_by_parent_rate,hpwl_improvement_rate,congestion_improvement_rate,mean_delta_hpwl,mean_delta_congestion_top10
moead,1,0,1656,0.02717391304347826,0.0,0.0,0.0,0.0,0.0,0.0
moead,1,1-10,2991,0.055834169174189235,0.025075225677031094,0.1009695753928452,0.04914744232698094,0.0297559344700769,34.45702583942082,2.707402987529585e-06
moead,1,11-100,7551,0.0780029135213879,0.03271089921864654,0.5133094954310687,0.21096543504171633,0.1356111773275063,1397.8378313184166,6.225107822563772e-05
moead,1,>100,7761,0.02886226001803891,0.005025125628140704,0.5702873341064296,0.31130009019456256,0.12343770132714857,29228.074557770888,0.0010916360610976744
nsga2,1,0,298,0.7483221476510067,0.0,0.0,0.0,0.0,0.0,0.0
nsga2,1,1-10,548,0.6186131386861314,0.023722627737226276,0.08211678832116788,0.04927007299270073,0.04744525547445255,30.24364572470939,3.716243893234399e-06
nsga2,1,11-100,5953,0.2771711741978834,0.027549134889971443,0.46463967747354273,0.23685536704182766,0.1884763984545607,1049.8107256844394,4.7858885972665656e-05
nsga2,1,>100,13159,0.065202522988069,0.012082985029257542,0.5811991792689414,0.27000531955315754,0.16072649897408617,5762.772688165442,0.00016575476378474213
moead,2,0,2254,0.019520851818988466,0.0,0.0,0.0,0.0,0.0,0.0
moead,2,1-10,2661,0.0424652386320932,0.018038331454340473,0.055618188650883124,0.03908305148440436,0.03006388575723412,43.972841842485494,1.830877634713812e-06
moead,2,11-100,6139,0.06841505131128849,0.02704023456589021,0.34191236357712984,0.22414073953412608,0.17983384916110115,1324.9700073301233,3.740039328970336e-05
moead,2,>100,8906,0.030204356613518977,0.007298450482820571,0.6232876712328768,0.2140130249270155,0.16067819447563442,16627.1072531352,0.0006977753141088056
nsga2,2,0,447,0.5637583892617449,0.0,0.0,0.0,0.0,0.0,0.0
nsga2,2,1-10,524,0.583969465648855,0.026717557251908396,0.05152671755725191,0.03435114503816794,0.03244274809160305,35.6559432933506,2.3045008362249565e-06
nsga2,2,11-100,1083,0.3591874422899354,0.0729455216989843,0.3915050784856879,0.23084025854108955,0.21791320406278855,630.6556852658033,2.3672745037662247e-05
nsga2,2,>100,17906,0.06595554562716407,0.009717413157600803,0.4786105216128672,0.3049815704233218,0.2259577795152463,8961.56193055793,0.000272863910114377
moead,3,0,786,0.089058524173028,0.0,0.0,0.0,0.0,0.0,0.0
moead,3,1-10,1085,0.1391705069124424,0.018433179723502304,0.08110599078341015,0.05161290322580645,0.052534562211981564,34.353110599074476,1.8696296393596632e-06
moead,3,11-100,9159,0.11758925646904683,0.027295556283437057,0.214215525712414,0.2332132328856862,0.23878152636750738,287.7324177623638,1.196284528375518e-05
moead,3,>100,8930,0.08756998880179172,0.010862262038073908,0.3690929451287794,0.3179171332586786,0.2975363941769317,4793.729651255724,0.0001500948936097566
nsga2,3,0,327,0.5321100917431193,0.0,0.0,0.0,0.0,0.0,0.0
nsga2,3,1-10,525,0.5771428571428572,0.0380952380952381,0.08571428571428572,0.07238095238095238,0.06476190476190476,37.7678571428598,1.6070263726370674e-06
nsga2,3,11-100,1254,0.2894736842105263,0.07097288676236045,0.4274322169059011,0.30063795853269537,0.22567783094098884,916.2177460697669,4.3234885543988846e-05
nsga2,3,>100,17844,0.04169468728984533,0.007117238287379511,0.516700291414481,0.3160726294552791,0.17434431741761935,15417.04447873597,0.0008114653852075336
moead,4,0,1353,0.07760532150776053,0.0,0.0,0.0,0.0,0.0,0.0
moead,4,1-10,1731,0.11380704794916234,0.02484113229347198,0.07336799537839399,0.03697284806470248,0.03870595031773541,16.550280597507346,1.2469220237192013e-06
moead,4,11-100,7589,0.15061272894979574,0.04783238898405587,0.3540650942153116,0.2099090789300303,0.1838186849387271,870.2997124597165,4.07283578108761e-05
moead,4,>100,9287,0.08237320986324971,0.015613222784537525,0.599547754926241,0.2513190481317971,0.15893184020674062,7158.318792397788,0.0002971849726883872
nsga2,4,0,324,0.6049382716049383,0.0,0.0,0.0,0.0,0.0,0.0
nsga2,4,1-10,531,0.5988700564971752,0.04331450094161959,0.0903954802259887,0.06591337099811675,0.08286252354048965,9.82179849340691,1.6285394179843464e-06
nsga2,4,11-100,2004,0.32934131736526945,0.05888223552894212,0.41916167664670656,0.2869261477045908,0.22405189620758484,1023.5868174365386,5.516897238225875e-05
nsga2,4,>100,17055,0.040457343887423045,0.006508355321020229,0.7279976546467312,0.1683963647024333,0.10935209615948402,29837.34557733445,0.0007138905618629194
moead,5,0,1080,0.05,0.0,0.0,0.0,0.0,0.0,0.0
moead,5,1-10,2749,0.07893779556202256,0.019279738086576938,0.07493634048744999,0.03383048381229538,0.028373954165150966,24.30425999064327,2.427056442611475e-06
moead,5,11-100,10920,0.09441391941391941,0.028388278388278388,0.3627289377289377,0.2033882783882784,0.1554945054945055,1241.370071297653,6.357165370750559e-05
moead,5,>100,5211,0.04029936672423719,0.006524659374400307,0.6967952408366916,0.22356553444636346,0.08578008059873345,11326.993879704796,0.0004526126770203641
nsga2,5,0,238,0.6302521008403361,0.0,0.0,0.0,0.0,0.0,0.0
nsga2,5,1-10,713,0.5680224403927069,0.028050490883590462,0.07433380084151472,0.04067321178120617,0.051893408134642355,10.561510719293612,1.4334843921126357e-06
nsga2,5,11-100,2835,0.3400352733686067,0.039153439153439155,0.37954144620811286,0.28606701940035273,0.19153439153439153,565.3809460820971,3.742429064800289e-05
nsga2,5,>100,16172,0.053116497650259706,0.007914914667326243,0.655515706158793,0.21432104872619342,0.13801632451150136,11704.114912016566,0.00042689139022962486
