method,seed,evaluation_count,generation_or_sweep,algorithm,valid_population,unique_genotypes,unique_phenotypes,max_single_phenotype_fraction,evaluated_unique_genotypes_cumulative,nondominated_population,min_hpwl,min_congestion_top10,max_hpwl,max_congestion_top10,archive_size,decode_failures_cumulative,duplicate_rejections,replacement_count,elapsed_seconds,valid_evaluations_per_second
moead,1,20,0,moead,19,20,19,0.05263157894736842,20,1,662805.0714285681,0.009936640039086342,943563.7857142895,0.017045052722096443,1,1,0,0,4.82358263595961,3.9389809264084708
moead,1,40,1,moead,20,4,4,0.5,40,11,646883.3392857081,0.009936640039086342,674482.8392857116,0.010596338659524918,2,1,0,70,34.29316029488109,1.1372530167720207
moead,1,60,2,moead,20,5,5,0.5,60,11,646215.9464285652,0.009936640039086342,676339.3035714261,0.010583470575511456,2,1,0,26,67.07673499686643,0.8795896222849287
moead,1,80,3,moead,20,3,2,0.5,80,20,646215.9464285652,0.009786099195480347,649193.0714285652,0.010583470575511456,2,1,0,34,100.85535008693114,0.7833000424063457
moead,1,100,4,moead,20,4,4,0.45,100,20,644065.6607142795,0.009629624895751476,649757.2857142794,0.010516682639718056,5,1,0,40,141.27429322781973,0.7007644330618029
moead,1,120,5,moead,20,2,2,0.5,120,20,635435.9107142796,0.009592166170477867,648654.0714285651,0.00999534409493208,2,1,0,29,173.21758388495073,0.6869972281742397
moead,1,140,6,moead,20,3,3,0.45,140,20,625964.089285709,0.009588392451405525,648415.4107142794,0.009894176386296749,5,1,0,45,206.31654197280295,0.67372203251799
moead,1,160,7,moead,20,5,5,0.45,160,19,619346.7857142813,0.009588392451405525,648415.4107142794,0.009893634356558323,6,1,0,20,240.3889009298291,0.6614282081451548
moead,1,180,8,moead,20,4,4,0.45,180,20,618299.5892857098,0.009588392451405525,648415.4107142794,0.009797895327210426,4,1,0,28,273.6448300899938,0.6541325847125712
moead,1,200,9,moead,20,7,7,0.2,200,10,618299.5892857097,0.00945339910686016,648415.4107142794,0.00978962890803814,2,1,0,24,307.2839533239603,0.6476094760151704
moead,1,220,10,moead,20,6,6,0.25,220,17,618299.5892857097,0.00945339910686016,629558.8571428513,0.00978962890803814,5,1,0,29,341.3667045349721,0.6415388410487586
moead,1,240,11,moead,20,6,6,0.25,240,18,618299.2142857097,0.00945339910686016,629558.8571428513,0.009778725914657116,7,1,0,6,375.1082568799611,0.6371493978509855
moead,1,260,12,moead,20,8,8,0.2,260,20,617936.4464285669,0.00945339910686016,629558.8571428513,0.009981926530599594,10,1,0,24,408.9357350289356,0.6333513503819215
moead,1,280,13,moead,20,7,7,0.35,280,18,616657.1964285669,0.009435554966330528,637705.4642857088,0.009840184822678566,10,1,0,22,441.7984668719582,0.631509660898981
moead,1,300,14,moead,20,7,7,0.25,300,20,616657.1964285669,0.009376977570354939,638602.3392857087,0.009840184822678566,13,1,0,33,474.92055225977674,0.629578986584792
moead,1,320,15,moead,20,10,10,0.25,320,19,616093.8749999952,0.009374594315886497,638555.2499999945,0.009840184822678566,15,1,0,13,507.70721128280275,0.6283148887997788
moead,1,340,16,moead,20,6,6,0.25,340,20,614494.9642857097,0.009322026744484901,635643.9642857092,0.00996414851397276,12,1,0,29,540.4178242359776,0.6272924111621696
moead,1,360,17,moead,20,8,7,0.35,360,19,614494.9642857097,0.009322026744484901,635643.9642857092,0.010011926293373108,12,1,0,3,573.1497790177818,0.6263633227168393
moead,1,380,18,moead,20,6,6,0.35,380,20,614494.9642857097,0.009322026744484901,635643.9642857092,0.00996414851397276,10,1,0,29,606.9205349539407,0.6244639589081664
moead,1,400,19,moead,20,9,9,0.25,400,20,614494.9642857097,0.009322026744484901,635643.9642857092,0.00996414851397276,13,1,0,10,639.3928578018676,0.6240294916206907
moead,1,420,20,moead,20,10,10,0.25,420,18,614494.9642857097,0.00932083185762167,635572.0714285662,0.00996414851397276,13,1,0,9,671.9932162507903,0.6235181990938844
moead,1,440,21,moead,20,10,10,0.2,440,11,611073.3928571389,0.00932083185762167,635572.0714285662,0.009971200488507748,8,1,0,18,705.0498382118531,0.6226510187044245
moead,1,460,22,moead,20,5,3,0.6,460,20,608819.017857139,0.00932083185762167,635572.0714285662,0.009353416040539742,4,1,0,21,738.0873464159667,0.6218776168279134
moead,1,480,23,moead,20,4,4,0.5,480,20,607400.4464285676,0.00932083185762167,635572.0714285662,0.009347217157483101,4,1,0,18,770.4359716738109,0.6217259027500344
moead,1,500,24,moead,20,4,4,0.45,500,20,607400.4464285676,0.009235686622560024,637380.1607142804,0.009347217157483101,4,1,0,32,803.4790116897784,0.621049203202663
moead,1,520,25,moead,20,5,5,0.5,520,19,607400.4464285676,0.009231292642652988,637313.7321428519,0.009347217157483101,5,1,0,31,836.2539161988534,0.6206248962744308
moead,1,540,26,moead,20,3,3,0.5,540,20,607400.4464285676,0.008682658895850182,713259.2142857142,0.009347217157483101,8,1,0,12,867.9968570149504,0.6209699904370924
moead,1,560,27,moead,20,7,7,0.45,560,19,606901.8749999962,0.008682658895850182,713259.2142857142,0.009470039047300816,10,1,0,15,900.0827635889873,0.6210539992689618
moead,1,580,28,moead,20,6,6,0.5,580,19,606901.8749999962,0.008682658895850182,713259.2142857142,0.009470039047300816,14,1,0,10,931.9546427167952,0.6212748705367499
moead,1,600,29,moead,20,8,7,0.45,600,20,606901.8749999962,0.008682658895850182,713259.2142857142,0.009470039047300816,14,1,0,14,963.6268688947894,0.6216098983281878
moead,1,620,30,moead,20,10,9,0.45,620,20,606901.8749999962,0.008669920265674591,713939.357142857,0.009470039047300816,18,1,0,5,994.8025529847946,0.6222340283936337
moead,1,640,31,moead,20,10,9,0.45,640,19,606901.8749999962,0.008669920265674591,713939.357142857,0.009474720805883408,18,1,0,1,1026.0805654258002,0.6227581162058454
moead,1,660,32,moead,20,7,6,0.45,660,20,606901.8749999962,0.008669920265674591,713939.357142857,0.009470039047300816,14,1,0,8,1057.9495417529251,0.6229030534935509
moead,1,680,33,moead,20,5,4,0.45,680,20,606092.7142857106,0.0085099833086133,711656.1071428568,0.00942669901996851,11,1,0,13,1088.971788231982,0.623523958414388
moead,1,700,34,moead,20,5,4,0.45,700,20,603493.3928571391,0.0085099833086133,711656.1071428568,0.009428129531443119,11,1,0,2,1120.4501449828967,0.6238564055080469
moead,1,720,35,moead,20,6,5,0.45,720,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,10,1,0,7,1151.6574726148974,0.6243175745367011
moead,1,740,36,moead,20,7,6,0.45,740,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,11,1,0,1,1182.8670404287986,0.6247532264759923
moead,1,760,37,moead,20,7,6,0.45,760,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,13,1,0,5,1214.2786671328358,0.6250624511028895
moead,1,780,38,moead,20,7,6,0.45,780,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,13,1,0,0,1246.0892856968567,0.6251558447229213
moead,1,800,39,moead,20,7,6,0.45,800,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,14,1,0,0,1277.8044215519913,0.6252913094709387
moead,1,820,40,moead,20,7,6,0.45,820,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,12,1,0,0,1309.4168243168388,0.6254692812789361
moead,1,840,41,moead,20,7,6,0.45,840,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,12,1,0,0,1340.5373849149328,0.6258684087749189
moead,1,860,42,moead,20,6,5,0.45,860,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,12,1,0,6,1371.7145978948101,0.626223560876526
moead,1,880,43,moead,20,7,6,0.45,880,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,13,1,0,5,1403.7399470848031,0.626184359735185
moead,1,900,44,moead,20,7,6,0.45,900,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,10,1,0,1,1435.2857118828688,0.6263561272554254
moead,1,920,45,moead,20,8,7,0.45,920,20,602611.2142857106,0.0085099833086133,711656.1071428568,0.00945483148097992,12,1,0,6,1466.5998436878435,0.6266194585764618
moead,1,940,46,moead,20,8,8,0.25,940,15,602611.2142857106,0.008509774692356586,711609.1249999998,0.00945483148097992,12,1,0,6,1498.0702316458337,0.6268063940956766
moead,1,960,47,moead,20,9,8,0.25,960,16,602611.2142857106,0.008509774692356586,711609.1249999998,0.00945483148097992,12,1,0,1,1529.5822215098888,0.6269685843062083
moead,1,980,48,moead,20,8,7,0.3,980,20,602611.2142857106,0.008509774692356586,711609.1249999998,0.00945483148097992,11,1,0,11,1561.2028225979302,0.6270805982600571
moead,1,1000,49,moead,20,6,5,0.45,1000,20,602611.2142857106,0.008380571380257607,700599.0535714269,0.00945483148097992,9,1,0,21,1592.7540722577833,0.627215473751
moead,1,1020,50,moead,20,5,5,0.45,1020,19,602611.2142857106,0.008380571380257607,700599.0535714269,0.00945483148097992,6,1,0,8,1624.5102785599884,0.6272659603626949
moead,1,1040,51,moead,20,6,6,0.4,1040,20,602611.2142857106,0.008380571380257607,700599.0535714269,0.00945483148097992,7,1,0,17,1655.4311129278503,0.6276310695661568
moead,1,1060,52,moead,20,6,6,0.4,1060,20,602611.2142857106,0.008380571380257607,700599.0535714269,0.00945483148097992,7,1,0,0,1686.7077134777792,0.6278503332485954
moead,1,1080,53,moead,20,7,7,0.4,1080,20,601560.8392857105,0.008380571380257607,700599.0535714269,0.009390704333782196,8,1,0,7,1717.9750695549883,0.6280649929800765
moead,1,1100,54,moead,20,7,6,0.4,1100,20,601560.8392857105,0.008321448229253292,711830.8571428575,0.009390704333782196,10,1,0,5,1748.8569651779253,0.6284104543039001
moead,1,1120,55,moead,20,6,6,0.4,1120,20,601560.8392857105,0.008321448229253292,711830.8571428575,0.009390704333782196,9,1,0,9,1780.0721823237836,0.6286261934272849
moead,1,1140,56,moead,20,5,4,0.45,1140,20,601465.3749999963,0.008305337280035019,697934.1249999973,0.009434194304049015,6,1,0,12,1810.5998088847846,0.6290733017924884
moead,1,1160,57,moead,20,5,4,0.45,1160,20,601465.3749999963,0.008305337280035019,697934.1249999973,0.009434194304049015,6,1,0,0,1841.343069741968,0.6294318636463619
moead,1,1180,58,moead,20,5,4,0.45,1180,20,601465.3749999963,0.008305337280035019,697934.1249999973,0.009434194304049015,6,1,0,0,1871.7928412118927,0.6298773956399236
moead,1,1200,59,moead,20,5,4,0.45,1200,20,601465.3749999963,0.008305337280035019,697934.1249999973,0.009434194304049015,7,1,0,0,1902.4901439209934,0.6302266552240241
moead,1,1220,60,moead,20,6,5,0.45,1220,20,601465.3749999963,0.008258472196757793,698753.5178571405,0.009434194304049015,9,1,0,1,1933.7460167428944,0.6303826818235535
moead,1,1240,61,moead,20,6,6,0.4,1240,19,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,8,1,0,10,1964.3080504678655,0.630756463938989
moead,1,1260,62,moead,20,6,6,0.4,1260,19,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,9,1,0,16,1995.1900377909187,0.6310175853694464
moead,1,1280,63,moead,20,6,6,0.4,1280,20,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,11,1,0,9,2026.2336694078986,0.6312203865281473
moead,1,1300,64,moead,20,6,6,0.4,1300,20,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,10,1,0,0,2056.8056963169947,0.6315618448189081
moead,1,1320,65,moead,20,6,6,0.4,1320,20,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,10,1,0,8,2088.2585555678234,0.6316267669456992
moead,1,1340,66,moead,20,6,6,0.4,1340,20,601465.3749999963,0.008238859474658966,698315.6607142832,0.009434194304049015,10,1,0,0,2119.104621305829,0.6318706431657372
moead,1,1360,67,moead,20,6,6,0.4,1360,20,601058.6785714248,0.008238859474658966,698315.6607142832,0.00940598826855421,11,1,0,1,2149.498837333871,0.6322403978062321
moead,1,1380,68,moead,20,6,6,0.4,1380,20,601058.6785714248,0.008238859474658966,698315.6607142832,0.00940598826855421,12,1,0,16,2180.5471471338533,0.6324100819432316
moead,1,1400,69,moead,20,6,6,0.4,1400,20,601058.6785714248,0.008190702646970749,700296.3571428553,0.00940598826855421,12,1,0,2,2211.0411749607883,0.6327335808320307
moead,1,1420,70,moead,20,6,6,0.4,1420,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,11,1,0,11,2241.908078427892,0.6329429889003543
moead,1,1440,71,moead,20,6,6,0.4,1440,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,11,1,0,0,2272.863128219964,0.6331221542262337
moead,1,1460,72,moead,20,7,7,0.4,1460,19,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,11,1,0,2,2303.8010033147875,0.6333012260610795
moead,1,1480,73,moead,20,7,7,0.4,1480,19,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,13,1,0,7,2335.243929751916,0.6333385481306534
moead,1,1500,74,moead,20,7,7,0.4,1500,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,15,1,0,1,2365.4301007469185,0.633711391229303
moead,1,1520,75,moead,20,7,7,0.4,1520,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,16,1,0,9,2395.3905111809727,0.6341345984755965
moead,1,1540,76,moead,20,7,7,0.4,1540,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,12,1,0,7,2425.9729286739603,0.6343846552489022
moead,1,1560,77,moead,20,7,7,0.4,1560,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,14,1,0,0,2456.879008486867,0.6345448817848588
moead,1,1580,78,moead,20,7,7,0.4,1580,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,14,1,0,0,2487.6087601489853,0.6347461165498678
moead,1,1600,79,moead,20,7,7,0.4,1600,12,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,14,1,0,1,2518.824278454995,0.6348199887055243
moead,1,1620,80,moead,20,7,7,0.4,1620,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,15,1,0,2,2549.7513041249476,0.6349638874116104
moead,1,1640,81,moead,20,7,7,0.4,1640,20,601058.6785714248,0.008151428773999214,697916.660714283,0.00940598826855421,15,1,0,0,2580.2180191718508,0.6352176396807178
moead,1,1660,82,moead,20,6,6,0.4,1660,20,601010.9999999963,0.008151428773999214,697916.660714283,0.009389166720211506,16,1,0,3,2611.0664877318777,0.6353725605207022
