method,seed,path,evaluation_count,decode_failure_count,repeated_genotype_evaluations,valid_phenotype_count,unique_valid_phenotypes,cumulative_phenotype_redundancy,same_phenotype_parent1_rate,same_phenotype_parent2_rate,survival_rate,archive_entry_rate,moved_macros,total_grid_displacement,mean_grid_displacement,max_grid_displacement,delta_hpwl,delta_congestion_top10,replacement_count,dominance_relations
moead,1,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_1_2026-07-24_08-29-26,10000,1,0,9999,9103,0.0896089608960896,0.0829742459164245,0.08296593186372746,0.051402805611222444,0.057615230460921846,"{""count"": 19959, ""max"": 512.0, ""mean"": 140.4726188686808, ""median"": 58.0}","{""count"": 19959, ""max"": 58718.0, ""mean"": 7136.411693972644, ""median"": 1326.0}","{""count"": 19959, ""max"": 114.68359375, ""mean"": 13.93830408979032, ""median"": 2.58984375}","{""count"": 19959, ""max"": 394.0, ""mean"": 166.60799639260483, ""median"": 168.0}","{""count"": 19959, ""improvement_rate"": 0.20822686507340046, ""max"": 485190.4285714362, ""mean"": 11899.254525348511, ""median"": 95.46428571431898}","{""count"": 19959, ""improvement_rate"": 0.10376271356280375, ""max"": 0.014886604622006416, ""mean"": 0.00044843645494245917, ""median"": 5.3105875849723816e-05}","{""count"": 9980, ""max"": 10.0, ""mean"": 0.18907815631262526, ""median"": 0.0}","{""dominated"": 8604, ""dominates"": 361, ""dominates_invalid_parent"": 1, ""equal"": 5389, ""nondominated"": 5605}"
nsga2,1,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_1_2026-07-24_08-29-26,10000,2,0,9998,9837,0.016103220644128835,0.014831145405351237,0.015031566289207335,0.1538076152304609,0.04749498997995992,"{""count"": 19958, ""max"": 512.0, ""mean"": 125.69480909910813, ""median"": 124.0}","{""count"": 19958, ""max"": 63988.0, ""mean"": 4186.161739653272, ""median"": 3537.0}","{""count"": 19958, ""max"": 124.9765625, ""mean"": 8.176097147760297, ""median"": 6.908203125}","{""count"": 19958, ""max"": 400.0, ""mean"": 193.68378595049603, ""median"": 191.0}","{""count"": 19958, ""improvement_rate"": 0.250025052610482, ""max"": 653301.9464285836, ""mean"": 4113.559603739135, ""median"": 953.0357142855646}","{""count"": 19958, ""improvement_rate"": 0.16349333600561178, ""max"": 0.012004861608147621, ""mean"": 0.00012366506596313222, ""median"": 6.440933793783188e-05}","{""count"": 9980, ""max"": 1.0, ""mean"": 0.1538076152304609, ""median"": 0.0}","{""dominated"": 10459, ""dominates"": 336, ""equal"": 1551, ""invalid_child"": 2, ""nondominated"": 7612}"
moead,2,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_2_2026-07-24_09-05-16,10000,1,0,9999,8689,0.131013101310131,0.11192384769539078,0.11392785571142285,0.04238476953907815,0.04759519038076152,"{""count"": 19960, ""max"": 510.0, ""mean"": 143.98391783567135, ""median"": 77.0}","{""count"": 19960, ""max"": 59269.0, ""mean"": 7712.0964428857715, ""median"": 2210.0}","{""count"": 19960, ""max"": 115.759765625, ""mean"": 15.062688365011272, ""median"": 4.31640625}","{""count"": 19960, ""max"": 405.0, ""mean"": 161.39038076152303, ""median"": 184.0}","{""count"": 19960, ""improvement_rate"": 0.16963927855711422, ""max"": 517089.42857143795, ""mean"": 7832.26552122067, ""median"": 47.678571428521536}","{""count"": 19960, ""improvement_rate"": 0.1310120240480962, ""max"": 0.014938858337700367, ""mean"": 0.00032308917471164753, ""median"": 8.453615009784698e-06}","{""count"": 9980, ""max"": 10.0, ""mean"": 0.14649298597194388, ""median"": 0.0}","{""dominated"": 7798, ""dominates"": 279, ""equal"": 6355, ""nondominated"": 5528}"
nsga2,2,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_2_2026-07-24_08-48-12,10000,1,0,9999,9750,0.02490249024902491,0.021643286573146292,0.02314629258517034,0.10661322645290582,0.05801603206412825,"{""count"": 19960, ""max"": 512.0, ""mean"": 329.4591683366734, ""median"": 364.0}","{""count"": 19960, ""max"": 69630.0, ""mean"": 15943.031462925852, ""median"": 16354.5}","{""count"": 19960, ""max"": 135.99609375, ""mean"": 31.138733326027054, ""median"": 31.9423828125}","{""count"": 19960, ""max"": 396.0, ""mean"": 213.98897795591182, ""median"": 218.0}","{""count"": 19960, ""improvement_rate"": 0.28702404809619236, ""max"": 281912.5357142959, ""mean"": 8074.51962675345, ""median"": 2996.3928571426077}","{""count"": 19960, ""improvement_rate"": 0.21538076152304608, ""max"": 0.008291343227028847, ""mean"": 0.00024612957494098223, ""median"": 0.0001524914987385273}","{""count"": 9980, ""max"": 1.0, ""mean"": 0.10661322645290582, ""median"": 0.0}","{""dominated"": 9021, ""dominates"": 267, ""equal"": 1168, ""nondominated"": 9504}"
moead,3,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_3_2026-07-24_12-49-14,10000,0,0,10000,9550,0.04500000000000004,0.039779559118236475,0.038977955911823646,0.10420841683366733,0.08336673346693386,"{""count"": 19960, ""max"": 511.0, ""mean"": 99.25766533066133, ""median"": 92.0}","{""count"": 19960, ""max"": 71588.0, ""mean"": 2469.897845691383, ""median"": 1875.5}","{""count"": 19960, ""max"": 139.8203125, ""mean"": 4.824019229865982, ""median"": 3.6630859375}","{""count"": 19960, ""max"": 419.0, ""mean"": 130.66658316633266, ""median"": 125.0}","{""count"": 19960, ""improvement_rate"": 0.25205410821643287, ""max"": 352533.30357143446, ""mean"": 2278.5881826151845, ""median"": 0.0}","{""count"": 19960, ""improvement_rate"": 0.24554108216432866, ""max"": 0.009347730316221714, ""mean"": 7.274266773786298e-05, ""median"": 0.0}","{""count"": 9980, ""max"": 10.0, ""mean"": 0.2807615230460922, ""median"": 0.0}","{""dominated"": 5346, ""dominates"": 367, ""equal"": 4881, ""nondominated"": 9366}"
nsga2,3,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_3_2026-07-24_12-27-42,10000,5,0,9995,9821,0.01740870435217612,0.016040100250626566,0.016741854636591478,0.07935871743486973,0.04519038076152305,"{""count"": 19950, ""max"": 512.0, ""mean"": 348.6770927318296, ""median"": 388.0}","{""count"": 19950, ""max"": 66858.0, ""mean"": 18339.788020050124, ""median"": 17516.5}","{""count"": 19950, ""max"": 130.58203125, ""mean"": 35.8198984766604, ""median"": 34.2119140625}","{""count"": 19950, ""max"": 417.0, ""mean"": 235.01859649122807, ""median"": 236.0}","{""count"": 19950, ""improvement_rate"": 0.30350877192982456, ""max"": 423663.500000002, ""mean"": 13848.14570712462, ""median"": 6085.035714287078}","{""count"": 19950, ""improvement_rate"": 0.17182957393483708, ""max"": 0.010973778553307056, ""mean"": 0.0007285638380431591, ""median"": 0.000392046757042408}","{""count"": 9980, ""max"": 1.0, ""mean"": 0.07935871743486973, ""median"": 0.0}","{""dominated"": 9801, ""dominates"": 236, ""equal"": 890, ""invalid_child"": 10, ""nondominated"": 9023}"
moead,4,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_4_2026-07-24_13-14-34,10000,0,0,10000,9182,0.08179999999999998,0.06833667334669338,0.06723446893787575,0.11072144288577154,0.06773547094188377,"{""count"": 19960, ""max"": 512.0, ""mean"": 125.9750501002004, ""median"": 89.0}","{""count"": 19960, ""max"": 59219.0, ""mean"": 3600.27374749499, ""median"": 2027.0}","{""count"": 19960, ""max"": 115.662109375, ""mean"": 7.031784663076152, ""median"": 3.958984375}","{""count"": 19960, ""max"": 414.0, ""mean"": 135.5429859719439, ""median"": 132.0}","{""count"": 19960, ""improvement_rate"": 0.1999498997995992, ""max"": 405903.0178571498, ""mean"": 3662.9589017319304, ""median"": 105.08928571420256}","{""count"": 19960, ""improvement_rate"": 0.1471943887775551, ""max"": 0.006744608748704195, ""mean"": 0.00015386787428892028, ""median"": 1.081591472029686e-05}","{""count"": 9980, ""max"": 10.0, ""mean"": 0.33346693386773546, ""median"": 0.0}","{""dominated"": 8382, ""dominates"": 551, ""equal"": 5026, ""nondominated"": 6001}"
nsga2,4,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_4_2026-07-24_12-51-39,10000,23,0,9977,9807,0.017039190137315807,0.016069097117605704,0.016470824545545847,0.09338677354709418,0.04889779559118237,"{""count"": 19914, ""max"": 512.0, ""mean"": 336.9957316460781, ""median"": 427.0}","{""count"": 19914, ""max"": 64683.0, ""mean"": 21462.247263231897, ""median"": 25057.5}","{""count"": 19914, ""max"": 126.333984375, ""mean"": 41.9184516859998, ""median"": 48.9404296875}","{""count"": 19914, ""max"": 399.0, ""mean"": 235.18770714070504, ""median"": 244.0}","{""count"": 19914, ""improvement_rate"": 0.17485186301094707, ""max"": 451149.4464285781, ""mean"": 25656.94547446931, ""median"": 15472.624999999418}","{""count"": 19914, ""improvement_rate"": 0.11840915938535704, ""max"": 0.009320709854364395, ""mean"": 0.0006169944213948522, ""median"": 0.00044954102486371994}","{""count"": 9980, ""max"": 1.0, ""mean"": 0.09338677354709418, ""median"": 0.0}","{""dominated"": 13304, ""dominates"": 252, ""equal"": 1003, ""invalid_child"": 46, ""nondominated"": 5355}"
moead,5,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__moead/mgo/task2_moea/seed_5_2026-07-24_16-45-44,10000,0,0,10000,9382,0.061799999999999966,0.05430861723446894,0.053907815631262526,0.07575150300601202,0.05090180360721443,"{""count"": 19960, ""max"": 510.0, ""mean"": 69.05070140280561, ""median"": 49.0}","{""count"": 19960, ""max"": 47263.0, ""mean"": 1983.8777054108216, ""median"": 1170.0}","{""count"": 19960, ""max"": 92.310546875, ""mean"": 3.874761143380511, ""median"": 2.28515625}","{""count"": 19960, ""max"": 385.0, ""mean"": 156.38451903807615, ""median"": 169.0}","{""count"": 19960, ""improvement_rate"": 0.17429859719438878, ""max"": 399447.08928571886, ""mean"": 3639.6562473159483, ""median"": 0.0}","{""count"": 19960, ""improvement_rate"": 0.11137274549098196, ""max"": 0.008049443364143372, ""mean"": 0.00015327851185369825, ""median"": 3.5660341382026672e-06}","{""count"": 9980, ""max"": 10.0, ""mean"": 0.25190380761523046, ""median"": 0.0}","{""dominated"": 7798, ""dominates"": 397, ""equal"": 6688, ""nondominated"": 5077}"
nsga2,5,/home/sihengzhao/hsea26-hw5-task2/repo/results/adaptec1/task2_formal__nsga2/mgo/task2_moea/seed_5_2026-07-24_16-24-12,10000,1,0,9999,9873,0.012601260126012592,0.012225673915221965,0.011624411263653673,0.11913827655310621,0.05561122244488978,"{""count"": 19958, ""max"": 512.0, ""mean"": 246.74641747670108, ""median"": 260.5}","{""count"": 19958, ""max"": 64923.0, ""mean"": 11489.74215853292, ""median"": 10916.0}","{""count"": 19958, ""max"": 126.802734375, ""mean"": 22.440902653384608, ""median"": 21.3203125}","{""count"": 19958, ""max"": 418.0, ""mean"": 215.80353742860007, ""median"": 215.0}","{""count"": 19958, ""improvement_rate"": 0.2157530814710893, ""max"": 358569.1071428589, ""mean"": 9564.552144323956, ""median"": 3905.035714284575}","{""count"": 19958, ""improvement_rate"": 0.14089588135083675, ""max"": 0.008976307697594166, ""mean"": 0.00035127805898146897, ""median"": 0.00020292866975069046}","{""count"": 9980, ""max"": 1.0, ""mean"": 0.11913827655310621, ""median"": 0.0}","{""dominated"": 11730, ""dominates"": 259, ""equal"": 1342, ""invalid_child"": 2, ""nondominated"": 6627}"
