method,seed,distinct_visited_phenotypes,nondominated_distinct_phenotypes,hpwl_congestion_spearman,hpwl_congestion_kendall,congestion_relative_range,high_quality_hpwl_cutoff,high_quality_distinct_phenotypes,high_quality_congestion_relative_range
moead,1,9103,62,0.007633607745978825,0.07566969754481052,1.7674084383960578,599682.3928571383,2318,0.16772962115165507
nsga2,1,9837,103,0.20564174180448838,0.165087982965022,1.5538391763078732,591008.196428568,2467,0.05488924796591819
moead,2,8689,78,-0.1767204085933569,-0.037308726822088245,1.894490473231168,602104.535714281,2173,0.081039357055831
nsga2,2,9750,112,-0.4475015167310392,-0.26520298495350897,1.4797788901433548,611386.348214281,2438,0.15286063468177227
moead,3,9550,236,0.7204615777113186,0.5021449085812516,1.7566450947585068,585353.5535714255,2388,0.04245677434183753
nsga2,3,9821,95,-0.35909916346644605,-0.23515795109266702,1.7912144638370004,615055.7678571371,2456,0.21241507889568625
moead,4,9182,56,0.5463251566413774,0.4000054447927426,2.139024803870605,595637.2857142821,2299,0.09730033668617026
nsga2,4,9807,108,0.3225514631508159,0.21797474248416832,1.8200502850598066,618690.2410714226,2452,0.21901869538694427
moead,5,9382,172,0.694016162419494,0.5080829654661779,1.6707270090208077,593666.2321428533,2347,0.08849720802824977
nsga2,5,9873,104,0.21937219660508814,0.15486130948894244,1.6851745781084806,603022.0892857095,2469,0.1821110570714883
